INFO:root:Програма працює: 0 секунд, Поточний час: 2025-03-06 14:25:55
INFO:root:Програма працює: 5 секунд, Поточний час: 2025-03-06 14:26:00
INFO:root:Програма працює: 10 секунд, Поточний час: 2025-03-06 14:26:05
INFO:root:Програма працює: 15 секунд, Поточний час: 2025-03-06 14:26:10
INFO:root:Програма працює: 20 секунд, Поточний час: 2025-03-06 14:26:15
INFO:root:Програма працює: 25 секунд, Поточний час: 2025-03-06 14:26:20
INFO:root:Програма працює: 30 секунд, Поточний час: 2025-03-06 14:26:25
INFO:root:Програма працює: 35 секунд, Поточний час: 2025-03-06 14:26:30
INFO:root:Програма працює: 40 секунд, Поточний час: 2025-03-06 14:26:35
INFO:root:Програма працює: 45 секунд, Поточний час: 2025-03-06 14:26:40
INFO:root:Програма працює: 50 секунд, Поточний час: 2025-03-06 14:26:45
INFO:root:Програма працює: 55 секунд, Поточний час: 2025-03-06 14:26:50
ERROR:root:Task completed
